22/06/2013|10:03:49|11:07:20|0801112222|P1
22/06/2013|10:07:00|12:01:57|0801113333|P1
22/06/2013|11:12:12|12:43:34|0801114444|P1
22/06/2013|11:36:42|11:45:56|0801115555|P1
23/06/2013|10:44:33|12:29:23|0801112222|P1
23/06/2013|10:39:54|12:31:55|0801113333|P1
23/06/2013|10:53:46|11:14:47|0801114444|P1
23/06/2013|11:48:24|12:18:40|0801115555|P1
24/06/2013|10:54:50|12:19:40|0801112222|P1
24/06/2013|11:24:18|12:27:21|0801113333|P1
24/06/2013|10:11:37|11:15:47|0801114444|P1
24/06/2013|10:44:52|12:30:48|0801115555|P1
25/06/2013|10:18:44|10:22:05|0801112222|P1
25/06/2013|10:56:04|12:29:05|0801113333|P1
25/06/2013|11:47:53|13:04:28|0801114444|P1
25/06/2013|11:25:42|11:26:31|0801115555|P1
